,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,41.0,75,75,1.81,AR,1599248388
1,port lincoln,-34.73,135.87,53.1,87,0,6.93,AU,1599248490
2,new norfolk,-42.78,147.06,48.74,70,69,3.36,AU,1599248490
3,jamestown,42.1,-79.24,67.6,48,20,13.87,US,1599248490
4,gravdal,68.12,13.5,55.4,93,75,3.36,NO,1599248491
7,mataura,-46.19,168.86,41.47,94,0,2.71,NZ,1599248491
8,barrow,71.29,-156.79,37.4,93,90,3.36,US,1599248492
9,avarua,-21.21,-159.78,78.8,83,0,9.17,CK,1599248249
10,pisco,-13.7,-76.22,63.21,77,4,11.41,PE,1599248492
11,kodiak,57.79,-152.41,55.4,54,1,3.36,US,1599248493
12,nikolskoye,59.7,30.79,59.95,82,100,2.24,RU,1599248440
13,kloulklubed,7.04,134.26,77.0,94,75,4.7,PW,1599248493
14,bluff,-46.6,168.33,48.11,82,6,16.42,NZ,1599248494
15,vaini,-21.2,-175.2,68.0,72,20,13.87,TO,1599248494
16,yurty,56.05,97.63,55.69,95,100,10.94,RU,1599248495
18,kalmunai,7.42,81.82,81.18,81,94,4.07,LK,1599248495
19,codrington,-38.27,141.97,44.22,91,0,7.0,AU,1599248433
20,maceio,-9.67,-35.74,80.6,54,20,10.29,BR,1599248411
21,lompoc,34.64,-120.46,66.22,72,1,14.99,US,1599248413
22,shanghai,31.22,121.46,76.53,73,17,6.71,CN,1599248141
23,half moon bay,37.46,-122.43,69.82,77,75,10.29,US,1599248220
24,sao filipe,14.9,-24.5,80.26,83,98,22.15,CV,1599248498
25,khani,41.96,42.96,86.0,40,98,17.22,GE,1599248498
26,constitucion,-35.33,-72.42,55.51,59,95,4.54,CL,1599248499
27,punta arenas,-53.15,-70.92,42.4,81,75,9.17,CL,1599248399
28,chuy,-33.7,-53.46,59.67,77,46,6.6,UY,1599248499
29,kaitangata,-46.28,169.85,42.55,90,3,6.64,NZ,1599248441
30,henties bay,-22.12,14.28,57.99,86,5,1.01,NA,1599248500
31,hermanus,-34.42,19.23,55.99,82,0,1.01,ZA,1599248500
32,vardo,70.37,31.11,55.4,87,75,17.22,NO,1599248500
33,airai,-8.93,125.41,57.74,52,0,3.36,TL,1599248501
34,tuktoyaktuk,69.45,-133.04,39.2,86,90,11.41,CA,1599248501
