,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,port-cartier,50.03,-66.87,16.97,82,20,4.1,CA,1599144901
2,east london,-33.02,27.91,21,56,0,3.1,ZA,1599144901
3,bahia blanca,-38.72,-62.27,13.98,53,42,5.97,AR,1599144880
4,atuona,-9.8,-139.03,25.67,75,12,7.85,PF,1599144901
5,port elizabeth,-33.92,25.57,19,68,27,4.1,ZA,1599144902
6,mercedes,-34.65,-59.43,11.49,79,20,0.89,AR,1599144902
8,yellowknife,62.46,-114.35,3.93,93,20,3.1,CA,1599144903
9,camana,-16.62,-72.71,16.15,78,98,5.59,PE,1599144903
10,saskylakh,71.92,114.08,9.87,75,100,5.62,RU,1599144903
11,hobart,-42.88,147.33,9.16,61,40,7.2,AU,1599144837
12,paamiut,61.99,-49.67,7.71,57,100,3.88,GL,1599144904
13,luxor,25.7,32.64,41,10,0,1.5,EG,1599144904
14,ushuaia,-54.8,-68.3,3,93,90,0.61,AR,1599144810
15,bluff,-46.6,168.33,7.22,72,100,4.92,NZ,1599144905
16,sola,-13.88,167.55,24.92,82,87,13.16,VU,1599144905
17,laguna,38.42,-121.42,15.25,87,1,1.5,US,1599144905
18,rikitea,-23.12,-134.97,21.87,86,0,4.8,PF,1599144906
19,mataura,-46.19,168.86,7.22,72,100,4.92,NZ,1599144906
20,butaritari,3.07,172.79,28.35,67,99,1.69,KI,1599144906
22,omsukchan,62.53,155.8,1.66,86,65,1.54,RU,1599144907
23,olafsvik,64.89,-23.71,8.8,74,100,10.25,IS,1599144907
24,kosonsoy,41.26,71.55,23,46,24,2.1,UZ,1599144907
25,mantua,45.17,10.78,27.01,51,0,2.24,IT,1599144907
26,adrar,20.5,-10.07,40.36,15,37,5.6,MR,1599144908
27,port lincoln,-34.73,135.87,11.45,79,72,4.64,AU,1599144908
28,georgetown,5.41,100.34,27.31,88,20,1.5,MY,1599144908
29,nikolskoye,59.7,30.79,20.89,64,88,5,RU,1599144909
30,sitka,57.05,-135.33,11,93,90,0.41,US,1599144909
31,thompson,55.74,-97.86,7,100,90,5.1,CA,1599144909
32,punta arenas,-53.15,-70.92,3.94,85,100,2.6,CL,1599144842
33,carnarvon,-24.87,113.63,18,77,0,6.7,AU,1599144910
34,muzhi,65.37,64.67,8.54,69,85,6.15,RU,1599144910
35,vanimo,-2.67,141.3,26.7,85,99,2.71,PG,1599144910
36,harper,4.38,-7.72,24.84,86,98,4.85,LR,1599144911
37,coihaique,-45.58,-72.07,7,76,75,4.1,CL,1599144911
38,chuy,-33.7,-53.46,12.89,78,60,6.33,UY,1599144665
39,kang,-23.68,22.79,30.11,20,2,2.59,BW,1599144912
40,alexandria,31.22,29.96,31,62,0,6.2,EG,1599144731
41,tigil,57.8,158.67,5.65,92,100,1.75,RU,1599144912
42,inhambane,-23.86,35.38,21.83,56,20,3.1,MZ,1599144912
43,vaini,-21.2,-175.2,21,77,40,5.1,TO,1599144913
44,tuktoyaktuk,69.45,-133.04,7,87,75,5.1,CA,1599144913
45,faanui,-16.48,-151.75,25.24,79,22,7.45,PF,1599144913
46,albany,42.6,-73.97,21.57,68,87,1.68,US,1599144914
47,xichang,27.9,102.26,20.32,71,98,1.05,CN,1599144914
48,victoria,22.29,114.16,29.09,79,0,2.24,HK,1599144772
49,gigmoto,13.78,124.39,27.81,79,100,1.78,PH,1599144914
50,qaanaaq,77.48,-69.36,-2.29,82,63,2.35,GL,1599144915
51,bethel,41.37,-73.41,23.76,57,1,2.6,US,1599144915
52,kodiak,57.79,-152.41,4,86,20,4.1,US,1599144791
53,ancud,-41.87,-73.82,10,79,4,0.89,CL,1599144915
54,cherskiy,68.75,161.3,0.6,93,7,3.35,RU,1599144916
55,saint-joseph,-21.37,55.62,17.97,68,75,4.87,RE,1599144916
56,cape town,-33.93,18.42,20.61,56,71,1.5,ZA,1599144916
57,chateaubelair,13.28,-61.25,30,74,40,2.6,VC,1599144917
58,salalah,17.02,54.09,27,83,40,3.1,OM,1599144917
59,pochutla,15.74,-96.47,24.79,73,90,1.69,MX,1599144917
61,kishtwar,33.32,75.77,18.98,72,41,0.86,IN,1599144918
63,omboue,-1.57,9.26,24.96,78,98,5.11,GA,1599144918
64,port alfred,-33.59,26.89,19.19,58,0,4.86,ZA,1599144919
65,kununurra,-15.77,128.73,25,75,0,1.5,AU,1599144919
66,upernavik,72.79,-56.15,3.76,72,0,1.45,GL,1599144919
67,barrow,71.29,-156.79,2,93,90,7.2,US,1599144919
68,khatanga,71.97,102.5,6.12,86,91,7.15,RU,1599144920
69,maniitsoq,65.42,-52.9,7.87,56,61,2.16,GL,1599144920
71,ecully,45.78,4.77,26.21,26,1,2.6,FR,1599144921
72,busselton,-33.65,115.33,14.46,62,100,6,AU,1599144921
73,new norfolk,-42.78,147.06,7.54,74,52,0.89,AU,1599144921
74,puerto ayora,-0.74,-90.35,18.89,91,92,2.24,EC,1599144921
75,rawson,-43.3,-65.1,13.29,39,95,6.62,AR,1599144922
76,azare,11.68,10.19,30.18,56,85,3.04,NG,1599144922
77,poum,-20.23,164.02,20.36,67,7,6.92,NC,1599144922
78,strezhevoy,60.73,77.59,7,87,90,4,RU,1599144923
79,aklavik,68.22,-135.01,8,100,90,1.5,CA,1599144923
80,sayyan,15.17,44.32,21.98,23,34,7.01,YE,1599144923
82,unai,-16.36,-46.91,29.44,30,0,3.57,BR,1599144895
83,shubarkuduk,49.14,56.49,20.49,31,0,4.92,KZ,1599144924
84,arlit,18.74,7.39,33.7,38,14,9.55,NE,1599144924
85,karachi,24.91,67.08,30,74,40,3.1,PK,1599144705
86,cidreira,-30.18,-50.21,16.82,78,100,6.64,BR,1599144872
87,iqaluit,63.75,-68.51,10.77,53,75,6.7,CA,1599144731
88,kahului,20.89,-156.47,21.88,73,1,3.43,US,1599144925
89,tiksi,71.69,128.87,5.43,81,10,3.66,RU,1599144925
90,hermanus,-34.42,19.23,19.44,67,94,0.89,ZA,1599144846
91,le port,-20.94,55.29,19.51,69,75,4.1,RE,1599144926
92,cao bang,22.67,106.25,25.86,69,53,0.44,VN,1599144926
93,saint-louis,16.33,-15,32.27,49,57,3.17,SN,1599144926
94,marsa matruh,31.35,27.25,29,70,40,5.1,EG,1599144927
96,severo-kurilsk,50.68,156.12,12.43,92,100,5.46,RU,1599144927
97,ambilobe,-13.2,49.05,23.3,75,16,2.34,MG,1599144850
98,krasnoborsk,61.56,45.93,13.67,72,98,1.22,RU,1599144928
99,alofi,-19.06,-169.92,24,94,100,2.1,NU,1599144928
100,fukue,32.69,128.84,25.8,70,19,2.94,JP,1599144928
101,atambua,-9.11,124.89,21.74,90,96,2.65,ID,1599144928
102,anakapalle,17.68,83.02,29,83,40,2.1,IN,1599144929
103,constitucion,-35.33,-72.42,12.43,61,0,1.69,CL,1599144929
104,jamestown,42.1,-79.24,18.86,100,20,3.6,US,1599144856
105,comodoro rivadavia,-45.87,-67.5,10,46,57,9.8,AR,1599144929
106,alice springs,-23.7,133.88,17,27,0,2.1,AU,1599144930
107,kiruna,67.86,20.23,15,58,2,5.1,SE,1599144930
108,saint-philippe,-21.36,55.77,19.18,68,75,7.26,RE,1599144930
109,port hedland,-20.32,118.57,20,64,0,3.1,AU,1599144931
110,bredasdorp,-34.53,20.04,20,49,98,4.6,ZA,1599144931
112,neiafu,-18.65,-173.98,23,94,90,7.76,TO,1599144931
113,macieira de cambra,40.86,-8.37,30.31,47,0,3.6,PT,1599144932
114,copiapo,-27.37,-70.33,13,71,75,2.6,CL,1599144796
115,hilo,19.73,-155.09,18.34,64,90,2.1,US,1599144684
116,san quintin,30.48,-115.95,20.76,83,27,3.88,MX,1599144932
118,san patricio,19.22,-104.7,28,69,75,0.49,MX,1599144933
119,bambous virieux,-20.34,57.76,21.84,78,75,7.2,MU,1599144933
120,olinda,-8.01,-34.86,26,78,75,6.2,BR,1599144933
121,saint george,37.1,-113.58,23.55,22,1,1.24,US,1599144934
122,tadine,-21.55,167.88,18.56,70,47,8.18,NC,1599144934
123,fez,34.04,-5,35,23,0,9.3,MA,1599144934
125,kruisfontein,-34,24.73,19.44,60,12,2.68,ZA,1599144935
126,xiamen,24.48,118.08,29,74,40,5,CN,1599144935
127,qinggang,46.68,126.08,19.58,93,100,10.94,CN,1599144935
128,alta floresta,-9.88,-56.09,38.23,17,31,2.8,BR,1599144665
129,pilar,-9.6,-35.96,26,69,90,4.1,BR,1599144936
130,bathsheba,13.22,-59.52,30,66,75,5.1,BB,1599144936
131,porto novo,6.5,2.6,29,74,40,6.7,BJ,1599144936
132,norman wells,65.28,-126.83,7,81,75,2.1,CA,1599144937
133,uruacu,-14.52,-49.14,33.87,19,0,3.03,BR,1599144937
134,kapaa,22.08,-159.32,22.65,74,20,4.1,US,1599144937
135,clyde river,70.47,-68.59,6,81,75,3.6,CA,1599144937
136,lincoln,40.8,-96.67,20.85,43,1,11.3,US,1599144901
137,wonthaggi,-38.6,145.59,11.27,72,91,7.54,AU,1599144736
